variant	asset	asset_fnv64	sample	frame	viewport	scene	topology	geometry	paint	layers	visible_layers	draw_items	masks	clip_paths	path_verbs	path_points	gradient_stops
samsung	1667-firework.json	32cf10be155c6455	p000	0	128x128	a1ff2ee61c0fbb48	e861d15b3021ae17	021f4aa964bd319e	258991662908cc45	262	18	7	0	10	102	141	0
samsung	1667-firework.json	32cf10be155c6455	p025	19	128x128	0844c83a66e676f6	498f9aa59916dfd6	f8f4c4acd482394b	3bef6a2c6afa79de	262	41	18	0	22	240	344	0
samsung	1667-firework.json	32cf10be155c6455	p050	39	128x128	95916549a172505b	562a252f981ac725	08d2fdec7810e016	1b0971ab681a4e03	262	244	102	0	141	1458	2031	0
samsung	1667-firework.json	32cf10be155c6455	p075	59	128x128	dd06b345120ad86d	562a252f981ac725	a4ac357fecf94d33	1b0971ab681a4e03	262	244	102	0	141	1458	2031	0
samsung	1667-firework.json	32cf10be155c6455	p100	78	128x128	b6b99a66e081bf3d	837b6ab56fc6d1d3	9a15dca3b4e61b30	cbf29ce484222325	262	142	0	0	141	846	705	0
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p000	0	128x128	5485af218b316269	e30738d1179fd93a	f2bc6ca70ba782eb	fdc2bc33fbb6ab5a	13	6	3	0	1	28	59	0
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p025	22	128x128	a0ab8191733e196d	82d0deca23dab0bb	e3ecbf80734b33d2	88882770ff7e6f7c	13	8	5	0	1	44	97	0
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p050	44	128x128	6d6a3f76b4656c80	7ab32c06c38ad1f0	1d2f9c06fbe2a123	91f9dc56a8dee134	13	7	4	0	1	42	93	0
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p075	66	128x128	bb3e316b4e023dcb	d35b417fb93abc5d	decf9c1a2d604f43	ddd6eb15038e0de6	13	7	5	0	1	44	97	0
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p100	88	128x128	baf7e24f123b2c90	b0f6b703fecc9726	f2a6a8b86bba07fe	f22a7946f7436210	13	5	3	0	1	28	59	0
samsung	StickAndBall.json	e7131282b35e2e14	p000	0	128x128	85b7c54d61b4a216	c41bb30cdaf4fbf8	0c63f5b67c6d8ef3	9a74978966d68341	3	3	3	0	0	14	30	0
samsung	StickAndBall.json	e7131282b35e2e14	p025	6	128x128	23695ec21a8e1479	c41bb30cdaf4fbf8	bf0662e773cfd3be	213778a25ca07618	3	3	3	0	0	14	30	0
samsung	StickAndBall.json	e7131282b35e2e14	p050	12	128x128	5a580926b4fd9914	c41bb30cdaf4fbf8	a9a87fbf543a236e	518cd5779fc2f650	3	3	3	0	0	14	30	0
samsung	StickAndBall.json	e7131282b35e2e14	p075	18	128x128	a92db5fc7365719a	c41bb30cdaf4fbf8	a915f986cdcb8bf8	9a74978966d68341	3	3	3	0	0	14	30	0
samsung	StickAndBall.json	e7131282b35e2e14	p100	23	128x128	ee52af41867d9dda	c41bb30cdaf4fbf8	a83c5d5c6722f802	9a74978966d68341	3	3	3	0	0	14	30	0
