variant	asset	asset_fnv64	sample	frame	viewport	plan	topology	geometry_identity	paint_identity	presentation	source_items	visible_items	geometry_updates	paint_updates	asset_static_geometry	instance_geometry	asset_static_paint	instance_paint	unsupported_items	dirty_valid
samsung	1667-firework.json	32cf10be155c6455	p000	0	128x128	5a6b6789ed10fa5e	1a08cb506e0775e0	75d0332c26466136	e2a4584f94a0b186	cef2533049639048	7	7	7	7	0	7	0	7	0	1
samsung	1667-firework.json	32cf10be155c6455	p025	19	128x128	569c18ffbc7033be	c081e9daa395d7c4	03a56c44da25be16	900c21f8ce853603	84e5642efd7dd73c	18	18	18	11	0	18	0	18	0	1
samsung	1667-firework.json	32cf10be155c6455	p050	39	128x128	49e2df3cf2ed8c54	a467858236ea27e4	4966727ae3edf430	5b24172232959ffb	eac81ef2c7a937a7	102	102	102	102	0	102	0	102	0	1
samsung	1667-firework.json	32cf10be155c6455	p075	59	128x128	800f10c684134f51	a467858236ea27e4	be7998ca8c3110bc	5b24172232959ffb	4d1cebe475ef2e94	102	102	102	0	0	102	0	102	0	1
samsung	1667-firework.json	32cf10be155c6455	p100	78	128x128	9aea806972289834	3773adb74832b3e0	cbf29ce484222325	cbf29ce484222325	af63bd4c8601b7df	0	0	0	0	0	0	0	0	0	1
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p000	0	128x128	5c2047f8a23351ea	cada95e5f8b8dcaf	5f3b8e22bd16e8fe	0a9a1a6c89efd32f	9d0554d7754757cb	3	3	3	3	0	3	0	3	1	1
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p025	22	128x128	8e654d68a7a06a8e	4d7f002aed70975d	f9dbb695e1a2fb1c	56cc6c7c9e75fb35	28bf58f5516b9d01	5	5	5	2	0	5	0	5	1	1
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p050	44	128x128	c3367a44c824354e	0347c1c1497d356c	7a81bd940794c7c7	29320f320e42f8ef	01f1e2e6def08676	4	4	4	0	0	4	0	4	1	1
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p075	66	128x128	ed5e73a94b90bd57	bc9475de79bcd051	d84f7fb18c9bca56	994db52c2f7ff0c1	33d4c7967b4502c7	5	5	5	5	0	5	0	5	1	1
samsung	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p100	88	128x128	0fd2f706aee00fe6	be72c3de30192b77	5a22db838415c390	c6a6ee74f428e53b	2a1222d465ab029b	3	3	3	0	0	3	0	3	1	1
samsung	StickAndBall.json	e7131282b35e2e14	p000	0	128x128	8bad4f1be6f8d228	12a9f1c63910064f	ee8af5e02910530d	9af041fbe39823b2	a60e4a98b9c2aa30	3	3	3	3	0	3	0	3	0	1
samsung	StickAndBall.json	e7131282b35e2e14	p025	6	128x128	5d97120a69a1a5b8	12a9f1c63910064f	c7900e0e01eabe2d	bb1b5ab6e5692074	b4a31e618bc4c48b	3	3	3	1	0	3	0	3	0	1
samsung	StickAndBall.json	e7131282b35e2e14	p050	12	128x128	d8bca128ebea11ae	12a9f1c63910064f	c6e53e4074ade48a	75684269667213e8	0298e2273bcf5592	3	3	3	1	0	3	0	3	0	1
samsung	StickAndBall.json	e7131282b35e2e14	p075	18	128x128	c2d5bff192e00d1e	12a9f1c63910064f	8a9171e097334ef2	31b8401d72a87a4b	05a5eb4bf399f36d	3	3	3	1	0	3	0	3	0	1
samsung	StickAndBall.json	e7131282b35e2e14	p100	23	128x128	58a996bff837b310	12a9f1c63910064f	265a9182146a8a5c	31b8401d72a87a4b	26db4cbda7ce769c	3	3	3	0	0	3	0	3	0	1
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p000	0	128x128	83bb4adda2b8ca8f	a08d23a3926311a7	51337bc7c701d379	462e18838f92e469	c06df27f85a0fba9	3	3	3	3	0	3	0	3	0	1
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p025	37	128x128	175d2bfca935133d	a08d23a3926311a7	13971dbc4abc7055	462e18838f92e469	d6af2bf0b756fa18	3	3	3	0	0	3	0	3	0	1
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p050	75	128x128	1c819ada4c505776	a08d23a3926311a7	1f6b71036fc42bef	462e18838f92e469	33db4d6e3cf25335	3	3	3	0	0	3	0	3	0	1
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p075	113	128x128	edbed2964dfe00f0	a08d23a3926311a7	7fae2206e14b33ad	462e18838f92e469	13676bd001615aa2	3	3	3	0	0	3	0	3	0	1
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p100	150	128x128	eae1588934324bdb	a08d23a3926311a7	5782b35995455112	462e18838f92e469	a77568bdb2b1ab76	3	3	3	0	0	3	0	3	0	1
samsung	gradient_animated_background.json	a78189500889cf1b	p000	0	128x128	8eab90bcd33e69a4	d19ec8ff2c5039a9	c7270dfc8baeadbb	f950a056ba028820	e963f0ca90b0e533	3	3	3	3	0	3	0	3	1	1
samsung	gradient_animated_background.json	a78189500889cf1b	p025	39	128x128	415a39d612655952	d19ec8ff2c5039a9	c7270dfc8baeadbb	beab30c0a0627705	e963f0ca90b0e533	3	3	0	1	0	3	0	3	1	1
samsung	gradient_animated_background.json	a78189500889cf1b	p050	78	128x128	d2eb39b71ac94f2d	d19ec8ff2c5039a9	c7270dfc8baeadbb	36e8ab28583d9c0e	e963f0ca90b0e533	3	3	0	1	0	3	0	3	1	1
samsung	gradient_animated_background.json	a78189500889cf1b	p075	117	128x128	74439016479abf39	d19ec8ff2c5039a9	c7270dfc8baeadbb	f00d3d623fb367c7	e963f0ca90b0e533	3	3	0	1	0	3	0	3	1	1
samsung	gradient_animated_background.json	a78189500889cf1b	p100	155	128x128	0edd52db1269d3ca	d19ec8ff2c5039a9	c7270dfc8baeadbb	8209e45179d6594f	e963f0ca90b0e533	3	3	0	1	0	3	0	3	1	1
samsung	mask.json	1c1102ff30a73b97	p000	0	128x128	a9efa1266d7c1724	b214888534942381	ede4ba7442f49bfd	ee4dcae411bcd829	19da8527ee13ffbb	1	1	1	1	0	1	0	1	1	1
samsung	mask.json	1c1102ff30a73b97	p025	7	128x128	a9efa1266d7c1724	b214888534942381	ede4ba7442f49bfd	ee4dcae411bcd829	19da8527ee13ffbb	1	1	0	0	0	1	0	1	1	0
samsung	mask.json	1c1102ff30a73b97	p050	15	128x128	a9efa1266d7c1724	b214888534942381	ede4ba7442f49bfd	ee4dcae411bcd829	19da8527ee13ffbb	1	1	0	0	0	1	0	1	1	0
