variant	asset	asset_fnv64	sample	frame	viewport	plan	topology	geometry_identity	paint_identity	presentation	source_items	visible_items	geometry_updates	paint_updates	asset_static_geometry	instance_geometry	asset_static_paint	instance_paint	unsupported_items	dirty_valid
telegram	1667-firework.json	32cf10be155c6455	p000	0	128x128	5a6b6789ed10fa5e	1a08cb506e0775e0	75d0332c26466136	e2a4584f94a0b186	cef2533049639048	7	7	7	7	0	7	0	7	0	1
telegram	1667-firework.json	32cf10be155c6455	p025	19	128x128	dbcf2bd98cf950cb	c081e9daa395d7c4	2966e0cc18d783f5	900c21f8ce853603	84e5642efd7dd73c	18	18	18	11	0	18	0	18	0	1
telegram	1667-firework.json	32cf10be155c6455	p050	39	128x128	c0574c31ab9ca3ed	a467858236ea27e4	0fd6a1cf0d6812e2	5b24172232959ffb	eac81ef2c7a937a7	102	102	102	102	0	102	0	102	0	1
telegram	1667-firework.json	32cf10be155c6455	p075	58	128x128	80c87ebfca655af0	a467858236ea27e4	b06b980160bffa35	5b24172232959ffb	f7165cbfb6d6cae9	102	102	102	0	0	102	0	102	0	1
telegram	1667-firework.json	32cf10be155c6455	p100	77	128x128	9aea806972289834	3773adb74832b3e0	cbf29ce484222325	cbf29ce484222325	af63bd4c8601b7df	0	0	0	0	0	0	0	0	0	1
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p000	0	128x128	5c2047f8a23351ea	cada95e5f8b8dcaf	5f3b8e22bd16e8fe	0a9a1a6c89efd32f	9d0554d7754757cb	3	3	3	3	0	3	0	3	1	1
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p025	22	128x128	9c5b13f4ef47131c	4d7f002aed70975d	ba90873e810db660	56cc6c7c9e75fb35	28bf58f5516b9d01	5	5	5	2	0	5	0	5	1	1
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p050	44	128x128	c3367a44c824354e	0347c1c1497d356c	7a81bd940794c7c7	29320f320e42f8ef	01f1e2e6def08676	4	4	4	0	0	4	0	4	1	1
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p075	66	128x128	bde972ba7fb4c346	bc9475de79bcd051	41687316f436ae49	994db52c2f7ff0c1	33d4c7967b4502c7	5	5	5	5	0	5	0	5	1	1
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p100	87	128x128	0fd2f706aee00fe6	be72c3de30192b77	5a22db838415c390	c6a6ee74f428e53b	2a1222d465ab029b	3	3	3	0	0	3	0	3	1	1
