variant	repository	commit	asset	asset_fnv64	width	height	framerate	duration	total_frames	sample	frame	render_width	render_height	frame_fnv64	nontransparent_pixels	alpha_sum	bounds
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.602602481842041	79	p000	0	128	128	71651747eacf7610	4	685	63,63,2,2
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.602602481842041	79	p025	19	128	128	7d64f9e8b24c79e3	135	12181	30,29,67,69
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.602602481842041	79	p050	39	128	128	b274038e9c54eb53	827	73349	9,8,110,111
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.602602481842041	79	p075	59	128	128	bf333877831a0025	64	288	14,8,112,112
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.602602481842041	79	p100	78	128	128	eb05052ea5b62325	0	0	empty
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4666666984558105	89	p000	0	128	128	30f9e948998ddc28	90	14515	59,57,12,14
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4666666984558105	89	p025	22	128	128	8658fe93e3f4e665	87	14236	56,57,11,14
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4666666984558105	89	p050	44	128	128	d59bf3c5ef2a09c9	130	20536	56,57,16,14
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4666666984558105	89	p075	66	128	128	ee5241aa63521f13	78	13954	57,57,9,14
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4666666984558105	89	p100	88	128	128	d0b8146d50c825f5	90	14520	59,57,12,14
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	StickAndBall.json	e7131282b35e2e14	1080	1080	24	0.95833331346511841	24	p000	0	128	128	009527092661b117	414	79572	58,20,12,83
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	StickAndBall.json	e7131282b35e2e14	1080	1080	24	0.95833331346511841	24	p025	6	128	128	0d47f97cd2aef47a	413	81802	55,33,19,69
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	StickAndBall.json	e7131282b35e2e14	1080	1080	24	0.95833331346511841	24	p050	12	128	128	45190bcbec81ad98	406	79239	36,59,56,26
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	StickAndBall.json	e7131282b35e2e14	1080	1080	24	0.95833331346511841	24	p075	18	128	128	ba16a8de6838431c	407	81279	58,22,12,81
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	StickAndBall.json	e7131282b35e2e14	1080	1080	24	0.95833331346511841	24	p100	23	128	128	9d5feacf0708d3a3	377	79609	58,20,12,83
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	dynamic_path_test.json	7a378a5ee043f6b4	300	300	29.970001220703125	5.0050048828125	151	p000	0	128	128	cad7cf9c3ef638a5	4901	1209924	31,15,73,89
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	dynamic_path_test.json	7a378a5ee043f6b4	300	300	29.970001220703125	5.0050048828125	151	p025	37	128	128	ace834ca442187b8	4356	1089074	41,15,64,90
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	dynamic_path_test.json	7a378a5ee043f6b4	300	300	29.970001220703125	5.0050048828125	151	p050	75	128	128	949c74f7b7b8ef8c	4270	1056984	42,15,67,93
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	dynamic_path_test.json	7a378a5ee043f6b4	300	300	29.970001220703125	5.0050048828125	151	p075	113	128	128	46f802fbd81bdc43	3931	961249	42,18,70,93
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	dynamic_path_test.json	7a378a5ee043f6b4	300	300	29.970001220703125	5.0050048828125	151	p100	150	128	128	756366731b6cfc84	3652	893308	42,16,72,95
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.333333015441895	156	p000	0	128	128	6e1971058190707e	9472	2369345	27,0,74,128
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.333333015441895	156	p025	39	128	128	c35bfd539d67eea0	9472	2370168	27,0,74,128
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.333333015441895	156	p050	78	128	128	fa5bf038b09e3da2	9472	2370018	27,0,74,128
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.333333015441895	156	p075	117	128	128	5552d335f73b914e	9472	2369585	27,0,74,128
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.333333015441895	156	p100	155	128	128	c8069d00611583c8	9472	2369426	27,0,74,128
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	mask.json	1c1102ff30a73b97	500	500	60	0.5	31	p000	0	128	128	debc5eb999e96f6a	2236	537821	38,38,52,52
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	mask.json	1c1102ff30a73b97	500	500	60	0.5	31	p025	7	128	128	07e2121e1a06d9bc	2262	543024	38,38,52,52
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	mask.json	1c1102ff30a73b97	500	500	60	0.5	31	p050	15	128	128	7c723baf8d959aa7	2239	537751	38,38,52,52
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	mask.json	1c1102ff30a73b97	500	500	60	0.5	31	p075	23	128	128	2134baabd304f4ba	2176	521208	38,38,52,52
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	mask.json	1c1102ff30a73b97	500	500	60	0.5	31	p100	30	128	128	8123a21e9bd57701	2128	501052	38,38,52,52
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	5.0050048828125	151	p000	0	128	128	252feabaec4f63b5	1390	253033	40,45,46,41
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	5.0050048828125	151	p025	37	128	128	252feabaec4f63b5	1390	253033	40,45,46,41
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	5.0050048828125	151	p050	75	128	128	252feabaec4f63b5	1390	253033	40,45,46,41
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	5.0050048828125	151	p075	113	128	128	252feabaec4f63b5	1390	253033	40,45,46,41
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	5.0050048828125	151	p100	150	128	128	252feabaec4f63b5	1390	253033	40,45,46,41
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	5.0050048828125	151	p000	0	128	128	c83d598f3556b475	17	1712	64,20,9,4
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	5.0050048828125	151	p025	37	128	128	60e9ce778ae86f69	159	17345	80,45,35,65
samsung	https://github.com/Samsung/rlottie	2cab35db755b0e39df40b679969495e90d39c578	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	5.0050048828125	151	p050	75	128	128	b8eee0e425b103d5	412	44920	9,44,112,80
