variant	asset	asset_fnv64	sample	frame	viewport	scene	topology	geometry	paint	layers	visible_layers	draw_items	masks	clip_paths	path_verbs	path_points	gradient_stops
telegram	1667-firework.json	32cf10be155c6455	p000	0	128x128	07b1119db5dc0dd0	e861d15b3021ae17	021f4aa964bd319e	258991662908cc45	262	18	7	0	10	102	141	0
telegram	1667-firework.json	32cf10be155c6455	p025	19	128x128	6ff6610c7ac5c8a7	8335222bdd05d92e	656094cf1b9ec70d	3bef6a2c6afa79de	262	41	18	0	22	222	344	0
telegram	1667-firework.json	32cf10be155c6455	p050	39	128x128	176f449fea04294d	4f9a18fcda180109	a25b84e12138ad58	1b0971ab681a4e03	262	244	102	0	141	1356	2031	0
telegram	1667-firework.json	32cf10be155c6455	p075	58	128x128	346ca5f88d9f0b45	4f9a18fcda180109	c710e2aa84a286c5	1b0971ab681a4e03	262	244	102	0	141	1356	2031	0
telegram	1667-firework.json	32cf10be155c6455	p100	77	128x128	18a959ad7f41b3fd	837b6ab56fc6d1d3	9a15dca3b4e61b30	cbf29ce484222325	262	142	0	0	141	846	705	0
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p000	0	128x128	ac9842f70dd8e659	e30738d1179fd93a	f2bc6ca70ba782eb	fdc2bc33fbb6ab5a	13	6	3	0	1	28	59	0
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p025	22	128x128	7cec1f97fb32a75f	91dfcf27d573b181	876201b9904e783a	88882770ff7e6f7c	13	8	5	0	1	43	97	0
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p050	44	128x128	0c282e4054d7608b	7ab32c06c38ad1f0	1d2f9c06fbe2a123	91f9dc56a8dee134	13	7	4	0	1	42	93	0
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p075	66	128x128	2fe7e6be2ef0b207	63a420f8d602230f	2ab646f230de36db	ddd6eb15038e0de6	13	7	5	0	1	43	97	0
telegram	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	p100	87	128x128	aff0d784392977b0	b0f6b703fecc9726	f2a6a8b86bba07fe	f22a7946f7436210	13	5	3	0	1	28	59	0
telegram	StickAndBall.json	e7131282b35e2e14	p000	0	128x128	85b7c54d61b4a216	c41bb30cdaf4fbf8	0c63f5b67c6d8ef3	9a74978966d68341	3	3	3	0	0	14	30	0
telegram	StickAndBall.json	e7131282b35e2e14	p025	5	128x128	e01d2f7543ba6964	c41bb30cdaf4fbf8	05884e8fa7e586b8	9a74978966d68341	3	3	3	0	0	14	30	0
telegram	StickAndBall.json	e7131282b35e2e14	p050	11	128x128	085c726a102a92c8	c41bb30cdaf4fbf8	85675f2ae7c7e647	9a74978966d68341	3	3	3	0	0	14	30	0
telegram	StickAndBall.json	e7131282b35e2e14	p075	17	128x128	bcbae23d493ce577	c41bb30cdaf4fbf8	47bde6f6c469091d	9a74978966d68341	3	3	3	0	0	14	30	0
telegram	StickAndBall.json	e7131282b35e2e14	p100	22	128x128	ee52af41867d9dda	c41bb30cdaf4fbf8	a83c5d5c6722f802	9a74978966d68341	3	3	3	0	0	14	30	0
telegram	dynamic_path_test.json	7a378a5ee043f6b4	p000	0	128x128	7626e352b0e83f76	9508ef93bc76b551	f69c2f6e3284158d	9d1d665f7b831c7e	2	2	3	0	0	43	73	0
telegram	dynamic_path_test.json	7a378a5ee043f6b4	p025	37	128x128	0909baaa628b98f6	faaeb287054f9b35	84169be847d5e21c	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
telegram	dynamic_path_test.json	7a378a5ee043f6b4	p050	75	128x128	e167746b6df23856	faaeb287054f9b35	7073f3b62eb82245	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
telegram	dynamic_path_test.json	7a378a5ee043f6b4	p075	112	128x128	1bfc35a3e4920fb8	faaeb287054f9b35	d824d8a2c2b241fe	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
telegram	dynamic_path_test.json	7a378a5ee043f6b4	p100	149	128x128	93aa45c4c964681b	faaeb287054f9b35	835882acd48b955b	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
telegram	gradient_animated_background.json	a78189500889cf1b	p000	0	128x128	80e4931f8af297e6	b2b7344057815647	bc5d7115fdaaeab9	45010350fc19fda1	3	3	3	0	0	18	15	3
telegram	gradient_animated_background.json	a78189500889cf1b	p025	38	128x128	cd601bed3d1b0571	b2b7344057815647	bc5d7115fdaaeab9	47121a96fad7858e	3	3	3	0	0	18	15	3
telegram	gradient_animated_background.json	a78189500889cf1b	p050	77	128x128	69df5c98311eb1bb	b2b7344057815647	bc5d7115fdaaeab9	463a8fd04c776746	3	3	3	0	0	18	15	3
telegram	gradient_animated_background.json	a78189500889cf1b	p075	116	128x128	75454bc734f1ab40	b2b7344057815647	bc5d7115fdaaeab9	d83dedefab96dd23	3	3	3	0	0	18	15	3
telegram	gradient_animated_background.json	a78189500889cf1b	p100	154	128x128	f8e30ae1787e82b0	b2b7344057815647	bc5d7115fdaaeab9	4c2917fbcd884da5	3	3	3	0	0	18	15	3
telegram	mask.json	1c1102ff30a73b97	p000	0	128x128	2f571fdf945f3d0b	63e85ede1f05c9d3	1222bea794a8bc8d	77be6a758c9118fa	2	2	1	1	0	12	18	0
telegram	mask.json	1c1102ff30a73b97	p025	7	128x128	5fd4a71553add8b0	18dfae7ecbeeaf41	15c6262570b39500	77be6a758c9118fa	2	2	1	1	0	11	18	0
telegram	mask.json	1c1102ff30a73b97	p050	15	128x128	fc522c0fbf0b2097	18dfae7ecbeeaf41	ed4ae07440b4c2ae	77be6a758c9118fa	2	2	1	1	0	11	18	0
telegram	mask.json	1c1102ff30a73b97	p075	22	128x128	af74f54230b579c6	18dfae7ecbeeaf41	8a7c49d7a338bd48	77be6a758c9118fa	2	2	1	1	0	11	18	0
telegram	mask.json	1c1102ff30a73b97	p100	29	128x128	62d45b426ed532fb	63e85ede1f05c9d3	53a7da5320f48b2e	77be6a758c9118fa	2	2	1	1	0	12	18	0
telegram	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p000	0	128x128	eb925e1282f25b90	df1ad0c673509bc6	37de92e16b643fbe	72e1985909bccfcf	4	4	7	0	0	31	55	0
telegram	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p025	37	128x128	eb925e1282f25b90	df1ad0c673509bc6	37de92e16b643fbe	72e1985909bccfcf	4	4	7	0	0	31	55	0
telegram	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p050	75	128x128	eb925e1282f25b90	df1ad0c673509bc6	37de92e16b643fbe	72e1985909bccfcf	4	4	7	0	0	31	55	0
telegram	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p075	112	128x128	eb925e1282f25b90	df1ad0c673509bc6	37de92e16b643fbe	72e1985909bccfcf	4	4	7	0	0	31	55	0
telegram	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p100	149	128x128	eb925e1282f25b90	df1ad0c673509bc6	37de92e16b643fbe	72e1985909bccfcf	4	4	7	0	0	31	55	0
telegram	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p000	0	128x128	9be45b74c459b915	7f335568733aa639	05d42f7493f0b64c	069461bce8601f2c	2	2	1	0	0	2	2	0
telegram	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p025	37	128x128	ca7b425cce28fe36	2e47b180ace7ce6d	77a162dc45e233fb	069461bce8601f2c	2	2	1	0	0	6	6	0
telegram	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p050	75	128x128	940586106cfd902c	13cb116f76b87253	8e1a2cffe3586f1f	069461bce8601f2c	2	2	1	0	0	12	12	0
telegram	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p075	112	128x128	fadc2ab390e9ac63	4f682c95d75eefee	84f8e66218cc3e50	069461bce8601f2c	2	2	1	0	0	21	21	0
telegram	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p100	149	128x128	0cca4a4d4395c248	cf63ab9896bc758f	c52135375f4b4fd9	069461bce8601f2c	2	2	1	0	0	33	32	0
