variant	repository	commit	asset	asset_fnv64	width	height	framerate	duration	total_frames	sample	frame	render_width	render_height	frame_fnv64	nontransparent_pixels	alpha_sum	bounds
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.5692358016967773	78	p000	0	128	128	6c4b6079d30872b8	4	692	63,63,2,2
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.5692358016967773	78	p025	19	128	128	77d4d2050702178a	135	12021	30,29,67,69
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.5692358016967773	78	p050	39	128	128	f00d1bf419190f4d	814	69093	9,8,110,111
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.5692358016967773	78	p075	58	128	128	9c03bd029d7bf454	105	619	2,8,124,118
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	1667-firework.json	32cf10be155c6455	800	800	29.970001220703125	2.5692358016967773	78	p100	77	128	128	eb05052ea5b62325	0	0	empty
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4500000476837158	88	p000	0	128	128	c5621232b26bce2c	90	14497	59,57,12,14
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4500000476837158	88	p025	22	128	128	4a5a20711ef5dbe2	87	14235	56,57,11,14
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4500000476837158	88	p050	44	128	128	03118ed1ccafce1c	130	20445	56,57,16,14
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4500000476837158	88	p075	66	128	128	1ce9d4da6ded5b66	78	13951	57,57,9,14
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	ModernPictogramsForLottie_LoudMute.json	dab2a6e2529b17fd	800	800	60	1.4500000476837158	88	p100	87	128	128	2bc7ec42fa6cec3e	90	14505	59,57,12,14
